Year,Month,Product,Channel,Platform,Spend,Lead,Clicks,Impressions,Avg_CPL,Avg_CTR,Variance,CPL_Status,CTR_Change,Recommendation
2025,3,Sucrose,Facebook,Lead Form,10177.52,759.0,0.0,1092253,13.409117259552042,0.0,-6.590882740447958,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
2025,3,Sucrose,Facebook,Lead Web,5383.97,0.0,0.0,625177,5383.97,0.0,5363.97,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,3,Sucrose,Google,Lead Web,7392.84,560.42,14297.0,3242267,13.191606295278543,0.4409568983677161,-6.808393704721457,Below Benchmark,-0.3710356923558349,✓ CPL ổn định - tiếp tục theo dõi
2025,4,Dairy,Facebook,Lead Form,7984.02,319.0,0.0,566279,25.028275862068966,0.0,5.028275862068966,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,4,Dairy,Facebook,Lead Web,2070.33,0.0,0.0,272641,2070.33,0.0,2050.33,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,4,Dairy,Google,Lead Web,6336.44,325.0,14074.0,4252104,19.49673846153846,0.3309890821108797,-0.5032615384615404,Below Benchmark,-0.28127344848604696,✓ CPL ổn định - tiếp tục theo dõi
2025,4,Life,Facebook,Lead Form,9032.95,478.0,0.0,553174,18.897384937238495,0.0,-1.1026150627615046,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
2025,4,Life,Facebook,Lead Web,3236.31,0.0,0.0,222639,3236.31,0.0,3216.31,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,4,Life,Google,Lead Form,2755.6,119.0,797.0,15026,23.156302521008403,5.304139491547984,3.156302521008403,Above Benchmark,0.20275506829828327,✓ Theo dõi thêm kỳ tới
2025,4,Life,Google,Lead Web,7064.15,336.91,6718.0,953303,20.967469057018192,0.7047077372042256,0.9674690570181923,Above Benchmark,0.01617022318866379,🎯 CTR ổn định - nên thử nhóm audience mới
2025,4,Life,Google,Other,1654.03,47.0,1143.0,11238,35.19212765957447,10.1708489054992,15.192127659574467,Above Benchmark,-0.17147057317759928,⚠️ CTR giảm >10% - cần thay nội dung quảng cáo
2025,4,Sucrose,Facebook,Lead Form,13188.83,789.0,0.0,1563145,16.715880861850444,0.0,-3.2841191381495562,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
2025,4,Sucrose,Facebook,Lead Web,1030.44,0.0,0.0,140848,1030.44,0.0,1010.44,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,4,Sucrose,Google,Lead Web,7989.88,566.39,18835.0,4198470,14.106675612210669,0.44861580528144773,-5.893324387789331,Below Benchmark,0.017368833421321783,✓ CPL ổn định - tiếp tục theo dõi
2025,5,Dairy,Facebook,Lead Form,7544.85,396.0,0.0,517859,19.052651515151517,0.0,-0.947348484848483,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
2025,5,Dairy,Facebook,Lead Web,2025.22,0.0,0.0,239796,2025.22,0.0,2005.22,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,5,Dairy,Google,Lead Web,3645.48,212.19,7075.0,1614838,17.18026297186484,0.438124443442624,-2.8197370281351617,Below Benchmark,0.3236824630241264,✓ CPL ổn định - tiếp tục theo dõi
2025,5,Life,Facebook,Lead Form,5345.05,266.0,0.0,280443,20.094172932330828,0.0,0.09417293233082802,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,5,Life,Facebook,Lead Web,4139.18,1.0,0.0,322801,4139.18,0.0,4119.18,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,5,Life,Google,Lead Form,4068.06,120.0,1295.0,17303,33.9005,7.484251285904178,13.900500000000001,Above Benchmark,0.4110208258719721,✓ Theo dõi thêm kỳ tới
2025,5,Life,Google,Lead Web,7820.27,322.18,8550.0,1205807,24.272984046185364,0.7090686983903726,4.272984046185364,Above Benchmark,0.006188325962544594,🎯 CTR ổn định - nên thử nhóm audience mới
2025,5,Life,Google,Other,1473.08,80.0,1343.0,13754,18.4135,9.76443216518831,-1.586500000000001,Below Benchmark,-0.0399589792442151,✓ CPL ổn định - tiếp tục theo dõi
2025,5,Sucrose,Facebook,Lead Form,12253.89,781.0,0.0,1169639,15.69,0.0,-4.3100000000000005,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
2025,5,Sucrose,Facebook,Lead Web,2838.66,0.0,0.0,399771,2838.66,0.0,2818.66,Above Benchmark,,✓ Theo dõi thêm kỳ tới
2025,5,Sucrose,Google,Lead Web,10586.42,654.59,20604.0,5957807,16.172596587176706,0.34583194789626454,-3.827403412823294,Below Benchmark,-0.2291133218561031,✓ CPL ổn định - tiếp tục theo dõi
2025,6,Dairy,Facebook,Lead Form,7741.5,403.0,0.0,529896,19.20967741935484,0.0,-0.7903225806451601,Below Benchmark,,✓ CPL ổn định - tiếp tục theo dõi
