Date,Product,Channel,Platform,Spend,Lead,Clicks,Impressions,CPL,CTR,Conversion_Rate
2025-02-27,Dairy,Google,Lead Web,293.28000000000003,23.31,1192.0,284058,12.581724581724584,0.4196326102415704,1.9555369127516777
2025-02-27,Life,Facebook,Lead Form,75.81,5.0,0.0,3287,15.162,0.0,500.0
2025-02-27,Life,Facebook,Lead Web,131.44,0.0,0.0,10906,131.44,0.0,0.0
2025-02-27,Life,Google,Lead Form,18.34,2.0,15.0,296,9.17,5.0675675675675675,13.333333333333334
2025-02-27,Life,Google,Lead Web,645.3,33.95,498.0,55887,19.007363770250365,0.8910837940844919,6.817269076305221
2025-02-27,Life,Google,Other,26.05,0.0,22.0,204,26.05,10.784313725490197,0.0
2025-02-27,Sucrose,Facebook,Lead Form,605.5,56.0,0.0,50916,10.8125,0.0,5600.0
2025-02-27,Sucrose,Facebook,Lead Web,88.86,0.0,0.0,11369,88.86,0.0,0.0
2025-02-27,Sucrose,Google,Lead Web,826.73,61.55,1453.0,262885,13.431844029244518,0.552713163550602,4.2360633172746045
2025-02-28,Dairy,Facebook,Lead Form,359.11,9.0,0.0,14264,39.90111111111111,0.0,900.0
2025-02-28,Dairy,Google,Lead Web,189.79,6.75,655.0,142008,28.117037037037036,0.46124162019041176,1.0305343511450382
2025-02-28,Life,Facebook,Lead Form,76.53,4.0,0.0,2898,19.1325,0.0,400.0
2025-02-28,Life,Facebook,Lead Web,159.71,0.0,0.0,13539,159.71,0.0,0.0
2025-02-28,Life,Google,Lead Form,23.5,0.0,12.0,421,23.5,2.8503562945368173,0.0
2025-02-28,Life,Google,Lead Web,382.62,12.97,266.0,29062,29.500385505011565,0.9152845640355104,4.875939849624061
2025-02-28,Life,Google,Other,25.45,2.0,22.0,312,12.725,7.051282051282051,9.090909090909092
